Id,Price
4567,163247.81175319993
5925,122980.96048877087
960,140545.4649408803
3848,175843.42518242917
746,172063.8211927096
868,380708.4765315431
672,122687.90208954917
2471,198680.22304151577
4510,124115.02844520769
8354,244294.50371081557
6393,177342.173326081
13270,230975.96642815348
5250,261277.03488948476
16751,168085.41189947847
11404,127479.28532673813
10588,331440.7075927101
14925,188500.43955262483
6791,243565.43132815848
16097,227041.960519809
16428,355788.3515226407
6945,355254.71619447356
3190,188263.64654260394
15709,470033.989702994
13155,183347.02345475022
7675,205857.31925776385
14686,229755.77247016667
609,175503.11915063753
11155,126769.60989122065
10869,205943.36060082482
15742,182202.12380486156
9245,183201.7648455755
3340,184564.61288289903
2359,273022.80861725024
8070,221688.05456809603
13707,134562.52077668655
16079,260644.83802797977
15937,237117.57383894917
14090,174581.13508517295
9008,222627.00464744968
16384,186760.27225802242
11657,253661.43008399502
13151,155236.86965402315
8990,181455.9221236792
11857,191411.5364440935
1565,161235.52548326837
8174,119551.91254583445
9247,229874.61846649842
10478,215421.00199199773
15509,148681.6310798439
8306,195111.8795253814
6642,188538.7283736231
7472,197243.5810420497
15989,136874.9620785297
13682,134420.05623532608
163,260477.31693739147
7076,173095.53035937579
7478,344930.57413932687
3029,191040.0618998801
1814,148184.8889043879
10057,146866.411107113
15100,197363.32161365528
12694,239813.22808264603
6291,179916.6021401589
12603,195063.17687964742
3218,250879.55803399583
13456,133481.00881417352
10170,243926.9861608588
4530,143684.05108011872
13329,162524.51362440787
4820,140081.05664058853
10896,167158.1362866425
13416,110727.46769029397
2701,224633.45975684247
11265,314785.0825363786
9189,265328.00902677956
1858,186324.18827704564
14536,240936.0847107663
6199,313593.39957058185
14730,155287.48176633148
7510,261446.81476995387
15505,163573.11446817417
7446,195849.15489671796
14016,186017.99327406203
14113,112016.18546703662
8721,293634.07694039727
6193,287871.7498715834
5717,175433.64964742702
5427,288133.6888631343
9520,567772.1374474523
6869,102279.46898255253
1658,149324.14900735233
6639,214699.30275868767
6283,185848.1522197999
6257,125204.88781796582
15235,190846.37677315518
902,212230.94291962555
8932,198133.95205160938
16469,322980.3875564333
2825,259379.805008651
6450,431640.2398802869
11366,179823.64080615918
3801,324252.71661645576
11385,218647.07930803054
1079,205102.03548895838
3202,241401.910904441
676,208544.63990410566
6185,275903.8157595307
7730,169700.74884129674
2573,181499.06145817225
10978,207780.15639217646
10962,249606.7744547725
8870,204878.61664206843
8496,183509.2173058678
5517,178357.0451549583
927,188341.943389628
13675,198627.59716614694
1499,225480.70755212737
15536,320744.4035137939
8602,333153.03464428615
12137,383866.6972890585
9865,262079.5863644319
16353,289077.7697081646
15908,225586.6093206178
3944,181737.37773305774
10359,208712.22053610868
15158,221317.08458871377
3259,260937.39278211244
7220,329810.8697761906
13843,208096.8796726229
16736,180395.33589731593
702,241876.88149247656
16401,97752.12579091347
